Language_area	Surname_Name	Pseudonyms	Year_Birth	Year_Death	Nationality	Gender	Journals
DE	Roque, Roger	NONE	Missing	Missing	Missing	M	UM
DE	Rosenberg, Käthe	Rosenberg, Käte	1883	1960	DE	F	NU
DE	Rubinstein, Hilde	NONE	1904	1997	DE	F	ME
DE	Rüdiger, Horst	NONE	1908	1984	DE	M	ME
DE	Rüdiger, Lisa	NONE	Missing	Missing	Missing	F	ME
DE	Rypp, Reinhard	NONE	Missing	Missing	Missing	M	MO
DE	Saager, Adolf	Edger, A.S.	1879	1949	CH	M	MO
DE	Sachs, Nelly	NONE	1891	1970	DE	F	ME
DE	Saenger, Eduard	NONE	1880	1948	DE	M	NU
DE	Sahl, Hans	Salomon, Hans; Floris, Franz; Munk, Peter; Salpeter	1902	1993	DE	M	MO
DE	Sander, Ernst	NONE	1898	1976	DE	M	GT
DE	Sauter, Lilly	Sauter, Lilly von	1913	1972	AT	F	ME
DE	Scavo-Otto, Eva	NONE	Missing	Missing	Missing	F	ME
DE	Schaeder, Hans Heinrich	NONE	1896	1957	DE	M	ME
DE	Schaefer-Rümelin, Maria	Schaeffer-Rümelin, Maria	1896	1966	DE	F	ME
DE	Schäfer, Oda	Schaefer, Oda	1900	1988	DE	F	GT
DE	Schalk, Fritz	NONE	1902	1980	AT; DE	M	MO
DE	Scheffel, Helmut	NONE	1925	2010	DE	M	MO
DE	Schering, Emil	NONE	1873	1951	DE	M	UM; GT
DE	Schickel, Joachim	NONE	1924	2002	DE	M	ME
DE	Schiebelhuth, Hans	NONE	1895	1944	DE	M	MO
DE	Schlüter, B.	NONE	Missing	Missing	Missing	Missing	ME
DE	Schlüter, Marguerite	NONE	1928	2018	DE	F	ME
DE	Schmidt, Eckhart	NONE	1938	Missing	DE	M	ME
DE	Schmied, Wieland	NONE	1929	2014	AT; DE	M	ME
DE	Schneider, Hans-Karl	NONE	1912	1991	DE	M	ME
DE	Schoen, Ernst	NONE	1894	1960	DE	M	MO; NU
DE	Schoenberner, Franz	NONE	1892	1970	DE	M	NU
DE	Schopenhauer, Arthur	NONE	1788	1860	DE	M	MO; WA
DE	Schor, Josua	NONE	Missing	Missing	Missing	Missing	MO
DE	Schröder, Rudolf Alexander	NONE	1878	1962	DE	M	ME; MO
DE	Schult, Herta	NONE	Missing	Missing	Missing	F	ME
DE	Schürenberg, Walter	NONE	Missing	Missing	Missing	M	MO
DE	Schwarz, Freimut	NONE	1913	1994	DE	M	NU
DE	Schwarz, Friedrich	NONE	Missing	Missing	Missing	M	ME
DE	Schwedhelm, Karl	NONE	1915	1988	DE	M	GT
DE	Schweinitz, Maria von	NONE	1889	1968	DE	F	MO
DE	Schwertfeger, Bernhard	Schwerdtfeger, Bernhard	1868	1953	DE	M	WA
DE	Segal, Jacques	NONE	Missing	Missing	Missing	M	UM
DE	Seidlin, Oskar	Brockhoff, Stefan	1911	1984	DE	M	WA
DE	Seiffhart, Arthur	NONE	1880	1959	Missing	M	MO
DE	Serelmann-Küchler, Elisabeth	NONE	Missing	Missing	Missing	F	GT
DE	Siliava, Judith	NONE	Missing	Missing	DE	F	UM
DE	Spaltmann, Günther	NONE	Missing	Missing	Missing	M	ME
DE	Spindler, Lore	NONE	Missing	Missing	DE	F	UM
DE	Spiro, Mario	NONE	1883	1960	DE	M	UM
DE	Stadelmayer, Peter	NONE	Missing	Missing	Missing	M	MO
DE	Stammler, Heinrich	NONE	1912	2006	DE	M	ME; GT
DE	Staudemeyer, Elsa	NONE	Missing	Missing	Missing	F	MO
DE	Steil-Beuerle, Elisabeth	Beuerle, Elisabeth	1908	1985	DE	F	GT
DE	Stein, Ernst Eduard	Sattler, Andreas; Schmied, Friedrich Louis	1901	1968	AT	M	NU
DE	Stein, Lola	Stern, Lola; Mené, Viola	1885	1959	DE	F	NU
DE	Stephan, Toni	NONE	Missing	Missing	Missing	Missing	GT
DE	Stern, Gustav	NONE	Missing	Missing	Missing	M	UM
DE	Sternberger, Dolf	NONE	1907	1989	DE	M	MO; WA
DE	Strassova, Helena	Strassowa, Helena	Missing	Missing	Missing	F	GT
DE	Strauch, Georg	Strauch-Orlow, Georg	1920	Missing	DE	M	ME
DE	Streller, Justus	NONE	Missing	Missing	Missing	M	MO
DE	Stresau, Hermann	NONE	1894	1964	US; DE	M	ME; MO
DE	Strom, Gustav	NONE	Missing	Missing	Missing	M	MO
DE	Stübel, Erna	NONE	Missing	Missing	Missing	F	WA
DE	Studniczka, Hanns	NONE	1891	1975	AT; DE	M	ME
DE	Süskind, Wilhelm Emanuel	Süskind, Wilhelm Emanuel	1901	1970	DE	M	ME
DE	Sutro, Nettie	NONE	1889	1967	DE; CH	F	MO
DE	Szalay-Kleeborn, Hermine von	Kleeborn, Hermen von	1908	1978	AT	F	GT
DE	Taube, Otto von	NONE	1879	1973	DE	M	ME
DE	Tauber, Herbert	NONE	Missing	Missing	Missing	M	MO
DE	Thiele-Fredersdorf, Herbert	NONE	Missing	Missing	Missing	M	MO
DE	Thiersch, Adolf	NONE	Missing	Missing	Missing	M	ME
DE	Tholen, Wilhelm	NONE	Missing	Missing	Missing	M	NU; GT
DE	Thomas, Walter	Dorn, Hans Peter; Anderman, W. Th.	1908	1970	DE	M	NU
DE	Thorsch, Eduard	NONE	1895	1977	DE	M	MO
DE	Tiel, Walter	NONE	1894	Missing	PL; DE	M	ME; MO
DE	Titel, Britta	NONE	Missing	Missing	Missing	F	ME
DE	Tophoven, Elmar	NONE	1923	1989	DE	M	ME
DE	Tornow, Friedrich	NONE	Missing	Missing	Missing	M	NU
DE	Trebitsch, Siegfried	NONE	1868	1956	AT	M	ME; NU
DE	Treichlinger, Wilhelm Michael	NONE	1902	1973	AT	M	MO
DE	Treuenfels, Therese	NONE	Missing	Missing	Missing	F	MO
DE	Trugly, Edmund	NONE	Missing	Missing	Missing	M	MO
DE	Uhde-Bernays, Hermann	NONE	1873	1965	DE	M	ME
DE	Ulrich, Robert A.	NONE	1888	1952	DE	M	NU
DE	Viebrock, Helmut	NONE	1912	1997	DE	M	ME
DE	Vordtriede, Werner	Salasin, Werner; Stoutz, Werner	1915	1985	DE	M	ME
DE	Vring, Georg von der	NONE	1889	1968	DE	M	GT
DE	Vukic, Miodrag	NONE	1926	Missing	SERB	M	MO
DE	Wagenseil, Hans Beppo	NONE	1894	1975	DE	M	GT; KA; NU
DE	Wagenseil, Kurt	Wagenseil. Kurt L.	1904	1988	DE	M	KA; MO
DE	Wagner, Meta	NONE	Missing	Missing	Missing	F	KA
